Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Togo,TGO,,97773,255620,164313,855900,681561,938952,531884,3127071,289271,3202737,337247,198643,915082,1274941,1239758,2229077
Thailand,THA,32633216169,33562601078,30093421406,37220309522,36145343805,37417929887,37098695791,38451617301,38817555616,39029549638,43935559396,44754206998,43957436600,45815361315,50016560454,53769309657,54112421409
Tajikistan,TJK,,,,,,,,,,42447877,23657211,7128213,7874133,1554883,734896,3026694,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,,,,,,,
Tonga,TON,,0,8644,242,1439,152707,56676,28003,,,,,,,,,
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,60964395,36208243,3466997,2859229,6476135,32895103,10354187,6111216,5633308,5563408,6571219,5465716,10677515,4512408,5248961,6251561,
Tunisia,TUN,,768243968,744466250,999336267,1085024422,854246053,801060250,871478331,838436577,871067168,850828851,828929551,840506111,832607036,959678980,1041437024,1198528314
Turkiye,TUR,1883247744,1963946211,1587951755,1943401874,2202177883,2327323000,3782775017,4293034117,3872189201,3421690692,4069123083,3735743019,4280255330,4172760165,5715371245,6906506415,8461609431
Tuvalu,TUV,,,,,,,,,,,,,,,,,
Tanzania,TZA,,16576002,19092797,28334815,43178785,99499785,50138761,28115055,9429192,17985730,16954704,186259360,9216395,18387069,14675348,17578118,43110701
Uganda,UGA,,5462128,3640910,6764101,153400859,177482058,9213750,11575196,9706303,8458426,8123723,19620087,15782091,11773219,17816471,,
Ukraine,UKR,,,,,1932450185,2647760449,2234806486,1990020494,1494839137,1123013376,1213593921,1213122591,1165833595,1175961260,1283624066,888066464,728946823
Upper middle income,UMC,,,,,,,,,,,,,,,,,
Uruguay,URY,49306192,82005246,81823095,116183374,136348947,198244859,193922905,178779702,273945030,153433874,129215276,120520508,115769162,113936601,132818761,185880308,188475643
United States,USA,2.41E+11,2.43E+11,1.51E+11,1.66E+11,1.67E+11,1.69E+11,1.69E+11,1.76E+11,1.75E+11,1.74E+11,1.55E+11,1.54E+11,1.54E+11,1.42E+11,1.69E+11,1.92E+11,2.09E+11
Uzbekistan,UZB,,,,,,,,,,,39348767,12132374,20474819,42220494,15074495,83976163,200637379
St. Vincent and the Grenadines,VCT,,,44381,8505,1400,2654,11120,2093,0,186,55,111,1120027,0,146,191441,535939
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,
Viet Nam,VNM,,3016805392,3533883638,6069554443,11709409219,21346437527,32759478692,36376040130,47524790042,55216909912,74114052667,82611228668,90430194116,1.02E+11,1.20E+11,1.36E+11,
Vanuatu,VUT,,,,,,,,,,,,,,,,,
World,WLD,,,,,,,,,,,,,,,,,
Samoa,WSM,,,183567,591648,365806,114963,210850,429830,148078,171154,74642,142119,105678,,53764,36152,396638
Kosovo,XKX,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,,382625,398148,678968,584721,2668283,1319726,3030318,,,,,,,,
South Africa,ZAF,1933150392,2089264358,1483141300,2498966663,2745990089,2861275747,2615633129,2807326935,2810596503,2398089362,2198581396,2091970957,1833309591,1835319303,2418464070,2494861682,2215402355
Zambia,ZMB,,4001399,4979110,2600041,11889970,46122333,16747925,18101351,29388136,182881125,36185168,25103534,21464462,10714229,10218867,8748554,14668136
Zimbabwe,ZWE,,58984637,7586439,9504795,8976852,20208296,18935955,12120906,11810010,13725165,11180300,9709358,27782789,8275259,4788223,7822102,10554661
